Original Docket Text,Removed unnecessary POS & vocab,Removed unnecessary POS & vocab DT,DT Topics,Apply Trigram Phrase Model
"MOTION for an order, dismissing plaintiffs' claims. Document filed by Salomon Inc., Salomon Smith Barney Holdings, Inc., Citigroup Global Markets Holding Inc., Citigroup, Inc.. Declaration of Karen Bekker in support attached. (sac, ) (Entered: 12/01/2004)",motion order dismiss inc declaration support,,"Other Answers, Motions",
"MEMORANDUM OF LAW in Support re: 49 MOTION to Dismiss. Document filed by Citigroup Global Markets Holdings Inc., Citigroup, Inc., Salomon Inc., Salomon Smith Barney Holdings, Inc.. (sac, ) (Entered: 12/01/2004)",memorandum law support motion dismiss inc,,"Other Answers, Motions",
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by Citigroup Global Markets Holdings Inc., Citigroup, Inc..(sac, ) (Entered: 12/01/2004)",rule disclosure inc,rule disclosure inc,,inc
"WAIVER OF SERVICE RETURNED EXECUTED Document filed by Aegis Insurance Services, Inc.. ICTS International NV waiver sent on 11/23/2004, answer due 1/22/2005. (Kallmann, Stanley) (Entered: 11/30/2004)",waiver service execute inc waiver send answer due,,"Service of Process, Answers to Complaints",
"STIPULATION AND ORDER; that the time for deft Kaback Enterprises to answer or move with respect to the complaint is extended to and including 12/30/2004. (Signed by Judge Alvin K. Hellerstein on 12/1/2004) (jp, ) (Entered: 12/03/2004)",stipulation order deft answer move complaint extend,,"Complaints, Others, Answers to Complaints",
"Set Answer Due Date purs. to 52 Stipulation and Order (jp, ) (Entered: 12/03/2004)",answer due purs stipulation order,,"Others, Answers to Complaints",
"AFFIDAVIT OF SERVICE of Summons and Complaint,,,,,,. Emery Roth & Son, P.C. served on 11/23/2004, answer due 12/13/2004. Service was accepted by John Smith, general agent. Document filed by Aegis Insurance Services, Inc.. (Kallmann, Stanley) (Entered: 12/03/2004)",affidavit service summons complaint p c serve answer due service accept general agent inc,,"Complaints, Service of Process, Answers to Complaints",
"AFFIDAVIT OF SERVICE of Summons and Complaint,,,,,,. Office of Irwin G. Cantor, P.C. served on 11/29/2004, answer due 12/20/2004. Service was accepted by Ms. Carroll, general agent. Document filed by Aegis Insurance Services, Inc.. (Kallmann, Stanley) (Entered: 12/03/2004)",affidavit service summons complaint office p c serve answer due service accept ms general agent inc,,"Complaints, Service of Process, Answers to Complaints",
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by Cantor Seinuk Group, P.C., Office of Irwin G. Cantor, P.C. (cd, ) (Entered: 12/14/2004)",rule disclosure p c office p c,rule disclosure p c office p c,,p c office p c
"ANSWER to Complaint. Document filed by Cantor Seinuk Group, P.C., Office of Irwin G. Cantor, P.C. (cd, ) (Entered: 12/14/2004)",answer complaint p c office p c,,"Complaints, Answers to Complaints",
"AFFIDAVIT OF SERVICE of Summons and Complaint,,,,,,. Fiberlock Technologies, Inc. served on 11/23/2004, answer due 12/13/2004. Service was accepted by Tom Calutti, Controller. Document filed by Aegis Insurance Services, Inc.. (Kallmann, Stanley) (Entered: 12/10/2004)",affidavit service summons complaint serve answer due service accept controller inc,,"Complaints, Service of Process, Answers to Complaints",
"AFFIDAVIT OF SERVICE of Summons and Complaint served on Johnson Controls World Services Inc. f/k/a American Power Technologies INc. on 12/6/2004. Service was accepted by Amy Lesch, Legal Clerk. Document filed by American Power Technologies, Inc.. (Kallmann, Stanley) (Entered: 12/20/2004)",affidavit service summons complaint serve f k service accept legal inc,,"Complaints, Service of Process",
"AFFIDAVIT OF SERVICE of Affidavit of Service served on Centrifugal Associates Inc. on 12/06/2004. Service was accepted by Amy Lesch, Legal Clerk. Document filed by Aegis Insurance Services, Inc.. (Kallmann, Stanley) (Entered: 12/20/2004)",affidavit service affidavit service serve service accept legal inc,,Service of Process,
"NOTICE of Appearance by Thomas V. Giordano on behalf of Flack & Kurtz, Inc. (Giordano, Thomas) (Entered: 12/20/2004)",notice appearance,,Notices,
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by ABCO Peerless Sprinkler Corporation.(Schwartz, Stuart) (Entered: 12/21/2004)",rule disclosure,rule disclosure,,
"ANSWER to Complaint., CROSSCLAIM against 7 World Trade Center Company, L.P., ABCO Peerless Sprinkler Corporation, AMEC, PLC, AMR Corporation, All Fire Systems, Inc., American Airlines, Inc., American Power Technologies, Inc., Boeing Co., Burns International Security Services Corporation, Cantor Seinuk Group, P.C., Citigroup Global Markets Holdings Inc., Citigroup, Inc., Colgan Air, Inc., Cosentini Associates Inc., DIC/Underhill, Electric Power Systems, Inc., Emery Roth & Son, P.C., Fiberlock Technologies, Inc., Firecom Inc., Flack & Kurtz, Inc., G.C. Engineering & Associates, P.C., Globe Aviation Services Corporation, Grace Construction Products, H.O. Penn Machinery Co., Inc., Huntleigh USA Corporation, ICTS International NV, Kaback Enterprises, Office of Irwin G. Cantor, P.C., Pinkerton's Inc., Preferred Utilities Manufacturing Corp., Rosebwach Tank Co., Inc., Salomon Inc., Salomon Smith Barney Holdings, Inc., Securitas AB, Security Services, Inc., Silverstein Properties, Inc., Skidmore Owings and Merrill, L.L.P., Swanke Hayden Connell Arche, Syska & Hennessy Engineers, Tishman Construction Corporation, UAL Corporation, US Airways Group, Inc., US Airways, Inc., United Airlines, Inc., ambassador Construction Co., Inc.. Document filed by ABCO Peerless Sprinkler Corporation.(Schwartz, Stuart) (Entered: 12/21/2004)",answer complaint crossclaim p c dic underhill p c g c p c h office p c ambassador inc,,"Complaints, Answers to Complaints",
"STIPULATION AND ORDER that the time within which the defendant Electric Power Systems, Inc. may appear and answer, move, or otherwise act with respect to the plaintiffs' Summons and Complaint is hereby extended through and including the 30th day of December, 2004. So Ordered. (Signed by Judge Naomi Reice Buchwald on 12/7/04) (jco, ) (Entered: 12/23/2004)",stipulation order within appear answer move otherwise act summons complaint extend order,,"Complaints, Others, Service of Process, Answers to Complaints, Motions",
"Set Answer Due Date purs. to 65 Stipulation and Order, as to Electric Power Systems, Inc. answer due on 12/30/2004. (jco, ) (Entered: 12/23/2004)",answer due purs stipulation order answer due,,"Others, Answers to Complaints",
"STIPULATION: the time for defendants 7 World Trade Center Company, L.P. and Silverstein Properties, Inc. to answer or move with respect to the complaint shall be extended to 12/30/04. (Signed by Judge Naomi Reice Buchwald on 12/7/04) (db, ) (Entered: 12/28/2004)",stipulation answer move complaint extend,,"Complaints, Others, Answers to Complaints",
"Set Answer Due Date purs. to 66 Stipulation and Order as to 7 World Trade Center Company, L.P. answer due on 12/30/2004; Silverstein Properties, Inc. answer due on 12/30/2004. (db, ) (Entered: 12/28/2004)",answer due purs stipulation order answer due answer due,,"Others, Answers to Complaints",
"ANSWER to Crossclaim., CROSSCLAIM against 7 World Trade Center Company, L.P., ABCO Peerless Sprinkler Corporation, AMEC, PLC, AMR Corporation, All Fire Systems, Inc., American Power Technologies, Inc., Cantor Seinuk Group, P.C., Citigroup Global Markets Holdings Inc., Cosentini Associates Inc., DIC/Underhill, Electric Power Systems, Inc., Emery Roth & Son, P.C., Fiberlock Technologies, Inc., Firecom Inc., Flack & Kurtz, Inc., G.C. Engineering & Associates, P.C., Grace Construction Products, H.O. Penn Machinery Co., Inc., Kaback Enterprises, Rosebwach Tank Co., Inc., Salomon Inc., Salomon Smith Barney Holdings, Inc., Silverstein Properties, Inc., Skidmore Owings and Merrill, L.L.P., Swanke Hayden Connell Arche, Syska & Hennessy Engineers, Tishman Construction Corporation. Document filed by Preferred Utilities Manufacturing Corp..(Harrison, David) (Entered: 12/22/2004)",answer crossclaim crossclaim p c dic underhill p c g c engineering associate p c h corp,,"Complaints, Answers to Complaints",
"ANSWER to Complaint with JURY DEMAND., CROSSCLAIM against 7 World Trade Center Company, L.P., ABCO Peerless Sprinkler Corporation, AMEC, PLC, AMR Corporation, All Fire Systems, Inc., American Power Technologies, Inc., Cantor Seinuk Group, P.C., Citigroup Global Markets Holdings Inc., Citigroup, Inc., Cosentini Associates Inc., DIC/Underhill, Electric Power Systems, Inc., Emery Roth & Son, P.C., Fiberlock Technologies, Inc., Firecom Inc., Flack & Kurtz, Inc., G.C. Engineering & Associates, P.C., Grace Construction Products, H.O. Penn Machinery Co., Inc., Kaback Enterprises, Rosebwach Tank Co., Inc., Salomon Inc., Salomon Smith Barney Holdings, Inc., Silverstein Properties, Inc., Skidmore Owings and Merrill, L.L.P., Swanke Hayden Connell Arche, Syska & Hennessy Engineers, Tishman Construction Corporation. Document filed by Preferred Utilities Manufacturing Corp..(Harrison, David) (Entered: 12/22/2004)",answer complaint jury demand crossclaim p c dic underhill p c g c engineering associate p c h corp,,"Complaints, Answers to Complaints",
"MOTION to Dismiss Plaintiffs' Action Against APT and Quashing Service of Process as to APT. Document filed by American Power Technologies, Inc.. Return Date set for 1/27/2005 09:30 AM. (jmi, ) (Entered: 12/28/2004)",motion quash service process apt inc,,"Service of Process, Motions",
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by American Power Technologies, Inc..(jmi, ) (Entered: 12/28/2004)",rule disclosure inc,rule disclosure inc,,inc
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by Syska & Hennessy Engineers.(jco, ) (Entered: 01/03/2005)",rule disclosure,rule disclosure,,
"ANSWER to Complaint. Document filed by Syska & Hennessy Engineers.(jco, ) (Entered: 01/03/2005)",answer complaint,,"Complaints, Answers to Complaints",
"ANSWER to Complaint., CROSSCLAIM against Citigroup, Inc.. Document filed by 7 World Trade Center Company, L.P., Silverstein Properties, Inc..(jmi, ) (Entered: 01/05/2005)",answer complaint crossclaim inc l p inc,,"Complaints, Answers to Complaints",
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by 7 World Trade Center Company, L.P., Silverstein Properties, Inc..(jmi, ) (Entered: 01/05/2005)",rule disclosure l p inc,rule disclosure l p inc,,l_p inc
"ANSWER to Complaint., CROSSCLAIM against all plaintiffs. Document filed by Swanke Hayden Connell Arche.(jmi, ) (Entered: 01/05/2005)",answer complaint crossclaim,,"Complaints, Answers to Complaints",
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by Swanke Hayden Connell Arche.(jmi, ) (Entered: 01/05/2005)",rule disclosure,rule disclosure,,
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by All Fire Systems, Inc..(Benenati, Michael) (Entered: 01/03/2005)",rule disclosure inc,rule disclosure inc,,inc
"ANSWER to Complaint., CROSSCLAIM against all defendants. Document filed by All Fire Systems, Inc..(Benenati, Michael) (Entered: 01/03/2005)",answer complaint crossclaim inc,,"Complaints, Answers to Complaints",
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by AMEC, PLC.(yv, ) (Entered: 01/12/2005)",rule disclosure,rule disclosure,,
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by Kaback Enterprises.(yv, ) (Entered: 01/12/2005)",rule disclosure,rule disclosure,,
"ANSWER to Complaint. Document filed by Kaback Enterprises.(yv, ) (Entered: 01/12/2005)",answer complaint,,"Complaints, Answers to Complaints",
"ANSWER to Complaint., CROSSCLAIM against 7 World Trade Center Company, L.P., Silverstein Properties, Inc., Citigroup Global Markets Holdings Inc., Salomon Smith Barney Holdings, Inc., Salomon Inc., Swanke Hayden Connell Arche, Cosentini Associates Inc., Cantor Seinuk Group, P.C., H.O. Penn Machinery Co., Inc., Kaback Enterprises, Preferred Utilities Manufacturing Corp., Electric Power Systems, Inc., American Power Technologies, Inc., G.C. Engineering & Associates, P.C., Tishman Construction Corporation, Firecom Inc., Grace Construction Products, Fiberlock Technologies, Inc., Rosebwach Tank Co., Inc., All Fire Systems, Inc., Emery Roth & Son, P.C., Syska & Hennessy Group, Inc., Skidmore Owings and Merrill, L.L.P., Flack & Kurtz, Inc., ABCO Peerless Sprinkler Corporation, AMR Corporation, American Airlines, Inc., UAL Corporation, United Airlines, Inc., Colgan Air, Inc., US Airways Group, Inc., US Airways, Inc., Huntleigh USA Corporation, ICTS International NV, Globe Aviation Services Corporation, Burns International Security Services Corporation, Pinkerton's Inc., Securitas AB, Boeing Co., Office of Irwin G. Cantor, P.C.. Document filed by AMEC, PLC.(yv, ) (Entered: 01/12/2005)",answer complaint crossclaim p c h g c engineering associate p c p c p c,,"Complaints, Answers to Complaints",
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by All Fire Systems, Inc..(ps, ) (Entered: 01/06/2005)",rule disclosure inc,rule disclosure inc,,inc
"ANSWER to Complaint. Document filed by All Fire Systems, Inc..(ps, ) (Entered: 01/06/2005)",answer complaint inc,,"Complaints, Answers to Complaints",
"MOTION for an order, pursuant to Federal Rule of Civil Procedure 12(b)(6) and Civil Practice Law and Rules 214-d and 3211(h), for an order dismissing all claims against F+K. Document filed by Flack & Kurtz, Inc.. (sac, ) (Entered: 01/06/2005)",motion order federal rule civil procedure civil practice law rule order dismiss f k inc,,Motions,
"MEMORANDUM OF LAW in Support re: 79 MOTION to Dismiss. Document filed by Flack & Kurtz, Inc.. (sac, ) (Entered: 01/06/2005)",memorandum law support motion dismiss inc,,"Other Answers, Motions",
"AMENDED ANSWER to 1 Complaint, CROSSCLAIM against 7 World Trade Center Company, L.P., Silverstein Properties, Inc., Citigroup, Inc., Citigroup Global Markets Holdings Inc., Salomon Smith Barney Holdings, Inc., Security Services, Inc., Salomon Inc., Swanke Hayden Connell Arche, ambassador Construction Co., Inc., Cosentini Associates Inc., Cantor Seinuk Group, P.C., DIC/Underhill, H.O. Penn Machinery Co., Inc., Kaback Enterprises, Preferred Utilities Manufacturing Corp., Electric Power Systems, Inc., American Power Technologies, Inc., G.C. Engineering & Associates, P.C., Tishman Construction Corporation, Firecom Inc., Grace Construction Products, Fiberlock Technologies, Inc., Rosebwach Tank Co., Inc., All Fire Systems, Inc., Emery Roth & Son, P.C., Skidmore Owings and Merrill, L.L.P., Flack & Kurtz, Inc., ABCO Peerless Sprinkler Corporation, AMR Corporation, UAL Corporation, United Airlines, Inc., Colgan Air, Inc., US Airways Group, Inc., US Airways, Inc., Huntleigh USA Corporation, ICTS International NV, Globe Aviation Services Corporation, Burns International Security Services Corporation, Pinkerton's Inc., Securitas AB, Boeing Co., AMEC, PLC. Document filed by Syska & Hennessy Group, Inc. (jeh, ) (Entered: 01/10/2005)",amend answer complaint crossclaim ambassador p c dic underhill h g c engineering associate p c p c,,"Complaints, Answers to Complaints",
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by Flack & Kurtz, Inc..(sac, ) (Entered: 01/06/2005)",rule disclosure inc,rule disclosure inc,,inc
"DECLARATION of Matthew S. Quinn in Support re: 79 MOTION to Dismiss. Document filed by Flack & Kurtz, Inc.. (sac, ) (Entered: 01/06/2005)",declaration support motion dismiss inc,,"Other Answers, Motions",
"STIPULATION AND ORDER OF DISMISSAL without prejudice as to defendant Dic/Underhill only.... (Signed by Judge Alvin K. Hellerstein on 1/6/05) (jf, ) (Entered: 01/11/2005)",stipulation order dismissal without prejudice dic underhill,,Others,
"ORDER granting in part and denying in part 79 Motion to Dismiss as further set forth in this Order. (Signed by Judge Alvin K. Hellerstein on 1/7/05) (yv, ) (Entered: 01/13/2005)",order grant part deny part motion dismiss order,,Motions,
"ANSWER to defendant Swanke Hayden Connell Architect's CROSS-CLAIMS. Document filed by 7 World Trade Center Company, L.P. (db, ) (Entered: 01/19/2005)",answer crossclaims l p,,Answers to Complaints,
"ANSWER to Crossclaim. Document filed by 7 World Trade Center Company, L.P.(db, ) (Entered: 01/19/2005)",answer crossclaim l p,,"Complaints, Answers to Complaints",
"ANSWER to Crossclaim. Document filed by 7 World Trade Center Company, L.P.(db, ) (Entered: 01/19/2005)",answer crossclaim l p,,"Complaints, Answers to Complaints",
"ANSWER to DFT. Cantor Seinuk Group, P.C. Cross-Claims. Document filed by 7 World Trade Center Company, L.P., Silverstein Properties, Inc..(pl, ) (Entered: 01/25/2005)",answer dft p c crossclaims l p inc,,Answers to Complaints,
"ANSWER to Crossclaim of Firecom, Inc.. Document filed by 7 World Trade Center Company, L.P., Silverstein Properties, Inc..(pl, ) (Entered: 01/26/2005)",answer crossclaim firecom inc l p inc,,"Complaints, Answers to Complaints",
"ANSWER to Crossclaim of All Fire Systems. Document filed by 7 World Trade Center Company, L.P., Silverstein Properties, Inc..(pl, ) (Entered: 01/26/2005)",answer crossclaim fire system l p inc,,"Complaints, Answers to Complaints",
"STIPULATION AND ORDER: the time in which defendants Citigroup Inc., Citigroup Global Markets Holdings Inc., Salomon Inc. and Salomon Smith Barney Holdings Inc.'s time to respond to Defendant Swanke Hayden Connell Architects' Cross-Claims is extended to 2/18/05; reply 10 days thereafter. (Signed by Judge Alvin K. Hellerstein on 1/20/05) (kw, ) (Entered: 01/28/2005)",stipulation order respond architect crossclaims extend reply thereafter,,"Others, Other Answers",
"STIPULATION AND ORDER: the time in which defendants Citigroup Inc., Citigroup Global Markets Holdings Inc., Salomon Inc. and Salomon Smith Barney Holdings Inc.'s time to respond to Defendant All Fire Systems, Inc.'s Cross-Claims is extended to 2/18/05; reply 10 days thereafter. (Signed by Judge Alvin K. Hellerstein on 1/20/05) (kw, ) (Entered: 01/28/2005)",stipulation order respond inc crossclaims extend reply thereafter,,"Others, Other Answers",
"STIPULATION AND ORDER: the time in which defendants Citigroup Inc., Citigroup Global Markets Holdings Inc., Salomon Inc. and Salomon Smith Barney Holdings Inc.'s time to respond to Defendants The Cantor Seinuk Group, Engineers, P.C. s/h/a/ Cantor Seinuk Group, P.C. and Office of Irwin G. Cantor, P.C.'s Cross-Claims is extended to 2/18/05; reply 10 days thereafter. (Signed by Judge Alvin K. Hellerstein on 1/20/05) (kw, ) (Entered: 01/28/2005)",stipulation order respond engineer p c h p c office p c crossclaims extend reply thereafter,,"Others, Other Answers",
"AFFIDAVIT OF SERVICE of Summons and Complaint,,,,,,. Globe Aviation Services Corporation served on 1/19/2005, answer due 2/8/2005. Service was accepted by Shirley Dillon, Registered Agent. Document filed by Aegis Insurance Services, Inc.. (Kallmann, Stanley) (Entered: 02/03/2005)",affidavit service summons complaint serve answer due service accept registered agent inc,,"Complaints, Service of Process, Answers to Complaints",
"AMENDED COMPLAINT amending 1 Complaint against Centifugal Associates, Inc., 7 World Trade Center Company, L.P., Silverstein Properties, Inc., Citigroup, Inc., Citigroup Global Markets Holdings Inc., Salomon Smith Barney Holdings, Inc., Salomon Inc., Swanke Hayden Connell Arche, ambassador Construction Co., Inc., Cosentini Associates Inc., Cantor Seinuk Group, P.C., H.O. Penn Machinery Co., Inc., Kaback Enterprises, Preferred Utilities Manufacturing Corp., Electric Power Systems, Inc., American Power Technologies, Inc., G.C. Engineering & Associates, P.C., Tishman Construction Corporation, Firecom Inc., Grace Construction Products, Fiberlock Technologies, Inc., Rosebwach Tank Co., Inc., All Fire Systems, Inc., Emery Roth & Son, P.C., Syska & Hennessy Group, Inc., Skidmore Owings and Merrill, L.L.P., Flack & Kurtz, Inc., ABCO Peerless Sprinkler Corporation, AMR Corporation, American Airlines, Inc., UAL Corporation, United Airlines, Inc., Colgan Air, Inc., US Airways Group, Inc., US Airways, Inc., Huntleigh USA Corporation, ICTS International NV, Globe Aviation Services Corporation, Burns International Security Services Corporation, Pinkerton's Inc., Securitas AB, Boeing Co., AMEC, PLC, Office of Irwin G. Cantor, P.C..Document filed by Certain Underwriters at Lloyds, (Syndicates 1225 and 1511), Aegis Insurance Services, Inc., Liberty Insurance Underwriters, Inc., National Union Insurance Company of Pittsburgh, Nuclear Electric Insurance Limited. Related document: 1 Complaint,,,,,, filed by Nuclear Electric Insurance Limited,, Liberty Insurance Underwriters, Inc.,, Aegis Insurance Services, Inc.,, National Union Insurance Company of Pittsburgh,, Certain Underwriters at Lloyds, (Syndicates 1225 and 1511),.(ps, ) (Entered: 02/10/2005)",amend complaint amend complaint ambassador p c h g c engineering associate p c p c office p c certain underwriter complaint certain underwriter,,Complaints,
"AFFIDAVIT OF SERVICE of Summons and Complaint,,,,,,. Securitas AB served on 1/24/2005, answer due 2/14/2005. Service was accepted by Nina Svensson. Document filed by Aegis Insurance Services, Inc.. (Kallmann, Stanley) (Entered: 02/09/2005)",affidavit service summons complaint serve answer due service accept inc,,"Complaints, Service of Process, Answers to Complaints",
"ANSWER to Complaint., CROSSCLAIM against all defendants. Document filed by H.O. Penn Machinery Co., Inc..(Katz, Jason) (Entered: 02/11/2005)",answer complaint crossclaim h inc,,"Complaints, Answers to Complaints",
"ANSWER to Crossclaim. Document filed by All Fire Systems, Inc.(kw, ) (Entered: 02/22/2005)",answer crossclaim,,"Complaints, Answers to Complaints",
"ANSWER to Crossclaim. Document filed by All Fire Systems, Inc.(kw, ) (Entered: 02/22/2005)",answer crossclaim,,"Complaints, Answers to Complaints",
"ANSWER to Crossclaim. Document filed by All Fire Systems, Inc.(kw, ) (Entered: 02/22/2005)",answer crossclaim,,"Complaints, Answers to Complaints",
"ANSWER to Crossclaim. Document filed by All Fire Systems, Inc.(kw, ) (Entered: 02/22/2005)",answer crossclaim,,"Complaints, Answers to Complaints",
"REPLY to the Cross Claims of 7 World Trade Company, L.P. and Silverstein Properties, Inc. Document filed by All Fire Systems, Inc. (kw, ) (Entered: 02/22/2005)",reply,,Other Answers,
"REPLY to the Cross Claims of Rosenwach Tank Co. Inc. Document filed by All Fire Systems, Inc. (kw, ) (Entered: 02/22/2005)",reply,,Other Answers,
"NOTICE of Appearance by David Abramovitz on behalf of Flack & Kurtz, Inc., Flack & Kurtz, Inc., Flack & Kurtz, Inc., Flack & Kurtz, Inc., Flack & Kurtz, Inc., Flack & Kurtz, Inc., Flack & Kurtz, Inc., Flack & Kurtz, Inc., Flack & Kurtz, Inc. (Abramovitz, David) (Entered: 02/17/2005)",notice appearance,,Notices,
"ENDORSED LETTER addressed to Judge Alvin K. Hellerstein from Thomas J. Moloney dated 2/17/05 re: I will consider Citigroup's motion to decisions applicable to the Amended Complaint. Hence, it is not necessary to adjust any of the requested changes. Other defendants may make their own applications. (Signed by Judge Alvin K. Hellerstein on 2/18/05) (sac, ) (Entered: 02/24/2005)",endorsed letter address consider motion decision applicable amend complaint hence necessary adjust request change,,"Complaints, Others",
"REPLY MEMORANDUM OF LAW in Support re: 49 MOTION to Dismiss. Document filed by Citigroup, Inc., Citigroup Global Markets Holdings Inc. (cd, ) (Entered: 03/03/2005)",reply memorandum law support motion dismiss,,"Other Answers, Motions",
"REPLY DECLARATION of Karen Bekker in Support re: 49 MOTION to Dismiss. Document filed by Citigroup, Inc., Citigroup Global Markets Holdings Inc. (cd, ) (Entered: 03/03/2005)",reply declaration support motion dismiss,,"Other Answers, Motions",
"CONSENT TO Change Attorney. Document filed by ambassador Construction Co., Inc..(Banks, Jonathan) (Entered: 02/25/2005)",consent change ambassador inc,consent change ambassador inc,,consent change ambassador inc
"ENDORSED LETTER addressed to Judge Hellerstein from David Abamowitz dated 2/24/2005 re: My rules, not the FRCP or local rules of Court, do not provide for ex parte letters seeking the Court's advice. Defendant should proceed as provided in these rules. (Signed by Judge Alvin K. Hellerstein on 2/28/2005) (jsa, ) (Entered: 03/07/2005)",endorsed letter address rule local rule parte letter advice proceed rule,endorsed letter address rule local rule parte letter advice proceed rule,,endorsed_letter_address rule local rule parte letter advice proceed rule
"ORDER; that a new Master Docket, 21 MC 101 (AKH) with the caption ""In Re September 11 Property Damage and Business Loss Litigation"" is hereby created. The following cases, currently pending as part of 21 MC 97, are transferred to the new 21 MC 101 (AKH) Master Docket: 02cv2987, 02cv7198, 02cv10052, 03cv131, 03cv6925, 04cv4577, 04cv5020, 04cv5021, 04cv5022, 04cv5023, 04cv5024, 04cv5025, 04cv6848, 04cv7136, 04cv7199, 04cv7225, 04cv7231, 04cv7234, 04cv7238, 04cv7240, 04cv7241, 04cv7244, 04cv7246, 04cv7248, 04cv7272, 04cv7294, 04cv7299, and 04cv7318... and as further set forth in said order regarding the Reorganization of Ptffs' Committees, Reorganization of Defts' Committees, and Miscellaneous matters referred to herein. (Signed by Judge Alvin K. Hellerstein on 3/10/2005) Original document filed in case no. 21mc97, doc. #650.(kkc, ) (Entered: 03/23/2005)",order new mc caption property business loss litigation create currently part mc transfer new mc say order reorganization ptffs committee reorganization defts committees miscellaneous herein original doc,order new mc caption property business loss litigation create currently part mc transfer new mc say order reorganization ptffs committee reorganization defts committees miscellaneous herein original doc,,order new mc caption property business loss litigation create currently part mc transfer new mc say order reorganization ptffs committee reorganization defts committees miscellaneous herein original doc
"CASE ACCEPTED AS RELATED TO 1:21-mc-101. (kkc, ) (Entered: 03/23/2005)",accept,accept,,accept
"CONSOLIDATED MEMBER CASE: Case consolidated with 1:21-mc-101. (rjm, ) (Entered: 12/06/2006)",consolidated member consolidate,consolidated member consolidate,,consolidated member consolidate
"AFFIDAVIT OF SERVICE of Summons and Amended Complaint,,,,,,. Cosentini Associates Inc. served on 3/7/2005, answer due 3/28/2005. Service was accepted by Michelle English, General Agent. Document filed by Aegis Insurance Services, Inc.. (Kallmann, Stanley) (Entered: 03/15/2005)",affidavit service summons amend complaint serve answer due service accept general agent inc,,"Complaints, Service of Process, Answers to Complaints",
"AFFIDAVIT OF SERVICE of Summons and Amended Complaint,,,,,,. H.O. Penn Machinery Co., Inc. served on 3/7/2005, answer due 3/28/2005. Service was accepted by Miriam Roman, General Agent. Document filed by Aegis Insurance Services, Inc.. (Kallmann, Stanley) (Entered: 03/15/2005)",affidavit service summons amend complaint h serve answer due service accept general agent inc,,"Complaints, Service of Process, Answers to Complaints",
"AMENDED ANSWER to 64 Answer to Complaint,,,, Crossclaim,,,, 63 Answer to Crossclaim,,,,,,, with JURY DEMAND., CROSSCLAIM against all defendants. Document filed by Preferred Utilities Manufacturing Corp.. (Harrison, David) (Entered: 03/21/2005)",amend answer answer complaint crossclaim answer crossclaim jury demand crossclaim corp,,"Complaints, Answers to Complaints",
"NOTICE of Appearance by Franklin M. Sachs on behalf of Certain Underwriters at Lloyds, (Syndicates 1225 and 1511), Aegis Insurance Services, Inc., Liberty Insurance Underwriters, Inc., National Union Insurance Company of Pittsburgh, Nuclear Electric Insurance Limited (ae, ) (Entered: 04/20/2005)",notice appearance certain underwriter,,Notices,
"ENDORSED LETTER addressed to Judge Hellerstein from Beth D. Jacob dated 4/1/05 re: stipulation setting the briefing schedule for the Port Authority's renewed motions to dismiss. Judge Alvin K. Hellerstein approves the proposed schedule and order that it shall be applicable to all motions to dismiss in these cases and in 04cv7272 (Signed by Judge Alvin K. Hellerstein on 4/1/05) Original entry in 21 MC 101 document number 5.(yv, ) (Entered: 04/19/2005)",endorsed letter address stipulation brief schedule renew motion dismiss approves propose schedule order applicable motion dismiss original entry mc number,,"Others, Motions",
"MOTION to Dismiss Fiberlock Technologies Inc.'s cross-claims pursuant to Rule 12(b)(6). Document filed by Citigroup, Inc., Citigroup Global Markets Holdings Inc., Salomon Smith Barney Holdings, Inc., Salomon Inc. (kw, ) (Entered: 04/25/2005)",motion crossclaims rule,motion crossclaims rule,,motion crossclaims rule
"MEMORANDUM OF LAW in Support of re: 119 MOTION to Dismiss. Document filed by Citigroup, Inc., Citigroup Global Markets Holdings Inc., Salomon Smith Barney Holdings, Inc., Salomon Inc. (kw, ) (Entered: 04/25/2005)",memorandum law support motion dismiss,,"Other Answers, Motions",
"NOTICE OF MOTION to Dismiss ABCO Peerless Sprinkler Corporation's Cross-Claims Pursuant to Rule 12(b)(6). Document filed by Citigroup, Inc., Citigroup Global Markets Holdings Inc., Salomon Smith Barney Holdings, Inc., Salomon Inc.. (mde, ) (Entered: 04/27/2005)",notice motion dismiss crossclaims rule inc,,"Notices, Motions",
"MEMORANDUM OF LAW in Support re: 123 MOTION to Dismiss.. Document filed by Citigroup, Inc., Citigroup Global Markets Holdings Inc., Salomon Smith Barney Holdings, Inc., Salomon Inc.. (mde, ) (Entered: 04/27/2005)",memorandum law support motion dismiss inc,,"Other Answers, Motions",
