Original Docket Text,Organization Portion,Name Portion,Identifying Org and Name,Stripped Org and Name,Removed unnecessary POS & vocab_x,DT Topics,Removed unnecessary POS & vocab DT_x,Apply Trigram Phrase Model_x,Removed unnecessary POS & vocab_y,Removed unnecessary POS & vocab DT_y,Apply Trigram Phrase Model_y,New Topocs,Action [Y/N],If Y
"LETTER addressed to Judge Denise L. Cote from Erik Haas dated December 4, 2013 re: Proposed Protective Order. Document filed by National Credit Union Administration Board. (Attachments: # 1 Exhibit A, # 2 Exhibit B)(Haas, Erik) (Entered: 12/04/2013)",National Credit Union Administration Board,Denise L. Cote Erik Haas Erik,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- dated December 4 , 2013 re : Proposed Protective Order . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Exhibit A , # 2 Exhibit B ) ( Haas , -NAME- ) ( Entered : 12/04/2013 )","LETTER addressed to Judge from dated December 4 , 2013 re : Proposed Protective Order . Document filed by . ( Attachments : # 1 Exhibit A , # 2 Exhibit B ) ( Haas , ) ( Entered : 12/04/2013 )",letter address propose protective order,,letter address propose protective order,letter_address propose protective order,"['letter address propose protective order .', 'document file .']","['letter address propose protective order .', 'document file .']","['letter_address propose protective order .', 'document file .']",Letter to Court,Y,Triage
"LETTER addressed to Judge Denise L. Cote from James P. Rouhandeh dated December 4, 2013 re: the proposed protective order. Document filed by Credit Suisse First Boston Mortgage Securities Corp., Credit Suisse Securities (USA) LLC. (Attachments: # 1 Exhibit 1, # 2 Exhibit 2)(Clary, Richard) (Entered: 12/04/2013)",Credit Suisse First Boston Mortgage Securities Corp. Credit Suisse Securities ( USA ) LLC Exhibit Exhibit,Denise L. Cote James P. Rouhandeh Clary Richard,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- -NAME- dated December 4 , 2013 re : the proposed protective order . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 -ORG- 1 , # 2 -ORG- 2 ) ( -NAME- , -NAME- ) ( Entered : 12/04/2013 )","LETTER addressed to Judge from dated December 4 , 2013 re : the proposed protective order . Document filed by , . ( Attachments : # 1 1 , # 2 2 ) ( , ) ( Entered : 12/04/2013 )",letter address propose protective order,,letter address propose protective order,letter_address propose protective order,"['letter address propose protective order .', 'document file .']","['letter address propose protective order .', 'document file .']","['letter_address propose protective order .', 'document file .']",Letter to Court,Y,Triage
"AMENDED LETTER addressed to Judge Denise L. Cote from Erik Haas dated December 4, 2013 re: Proposed Protective Order. Document filed by National Credit Union Administration Board. (Attachments: # 1 Exhibit A, # 2 Exhibit B)(Haas, Erik) (Entered: 12/04/2013)",National Credit Union Administration Board,Denise L. Cote Erik Haas Erik,"AMENDED LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- dated December 4 , 2013 re : Proposed Protective Order . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Exhibit A , # 2 Exhibit B ) ( Haas , -NAME- ) ( Entered : 12/04/2013 )","AMENDED LETTER addressed to Judge from dated December 4 , 2013 re : Proposed Protective Order . Document filed by . ( Attachments : # 1 Exhibit A , # 2 Exhibit B ) ( Haas , ) ( Entered : 12/04/2013 )",amend letter address propose protective order,,amend letter address propose protective order,amend letter_address propose protective order,"['amend letter address propose protective order .', 'document file .']","['amend letter address propose protective order .', 'document file .']","['amend letter_address propose protective order .', 'document file .']",Letter to Court,Y,Triage
"LETTER addressed to Judge Denise L. Cote from all parties dated December 4, 2013 re: schedule for the production of loan tapes. Document filed by National Credit Union Administration Board.(Haas, Erik) (Entered: 12/04/2013)",National Credit Union Administration Board,Denise L. Cote Erik,"LETTER addressed to Judge -NAME- -NAME- -NAME- from all parties dated December 4 , 2013 re : schedule for the production of loan tapes . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Haas , -NAME- ) ( Entered : 12/04/2013 )","LETTER addressed to Judge from all parties dated December 4 , 2013 re : schedule for the production of loan tapes . Document filed by . ( Haas , ) ( Entered : 12/04/2013 )",letter address schedule production tape,,letter address schedule production tape,letter_address schedule production tape,"['letter address schedule production loan tape .', 'document file .']","['letter address schedule production loan tape .', 'document file .']","['letter_address schedule production loan tape .', 'document file .']",Letter to Court,Y,Triage
PROTECTIVE ORDER...regarding procedures to be followed that shall govern the handling of confidential material... (Signed by Judge Denise L. Cote on 12/5/2013) (gr) (Entered: 12/05/2013),,Denise L. Cote,PROTECTIVE ORDER ... regarding procedures to be followed that shall govern the handling of confidential material ... ( Signed by Judge -NAME- -NAME- -NAME- on 12/5/2013 ) ( gr ) ( Entered : 12/05/2013 ),PROTECTIVE ORDER ... regarding procedures to be followed that shall govern the handling of confidential material ... ( Signed by Judge on 12/5/2013 ) ( gr ) ( Entered : 12/05/2013 ),protective order procedure govern handle confidential,,protective order procedure govern handle confidential,protective order procedure_govern_handle_confidential,['protective order procedure govern handle confidential'],['protective order procedure govern handle confidential'],['protective order procedure_govern_handle_confidential'],Court's Order,Y,Triage
"LETTER addressed to Judge Denise L. Cote from Erik Haas dated January 17, 2014 re: update on loan tape discovery. Document filed by National Credit Union Administration Board. (Attachments: # 1 Exhibit A, # 2 Exhibit B)(Haas, Erik) (Entered: 01/17/2014)",National Credit Union Administration Board,Denise L. Cote Erik Haas Erik,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- dated January 17 , 2014 re : update on loan tape discovery . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Exhibit A , # 2 Exhibit B ) ( Haas , -NAME- ) ( Entered : 01/17/2014 )","LETTER addressed to Judge from dated January 17 , 2014 re : update on loan tape discovery . Document filed by . ( Attachments : # 1 Exhibit A , # 2 Exhibit B ) ( Haas , ) ( Entered : 01/17/2014 )",letter address update tape discovery,,letter address update tape discovery,letter_address update tape discovery,"['letter address update loan tape discovery .', 'document file .']","['letter address update loan tape discovery .', 'document file .']","['letter_address update loan tape discovery .', 'document file .']",Letter to Court,Y,Triage
"ENDORSED LETTER addressed to Judge Denise L. Cote from Plaintiff National Credit Union Administration Board (""NCUA"") dated 1/17/2014 re: Status letter to the Court with an update on loan tape discovery in these matters. ENDORSEMENT: The defendants shall submit a responsive letter by 1/22/14. (Signed by Judge Denise L. Cote on 1/17/2014) (gr) (Entered: 01/17/2014)",Plaintiff National Credit Union Administration Board NCUA,Denise L. Cote Denise L. Cote,ENDORSED LETTER addressed to Judge -NAME- -NAME- -NAME- from -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- ( `` -ORG- '' ) dated 1/17/2014 re : Status letter to the Court with an update on loan tape discovery in these matters . ENDORSEMENT : The defendants shall submit a responsive letter by 1/22/14 . ( Signed by Judge -NAME- -NAME- -NAME- on 1/17/2014 ) ( gr ) ( Entered : 01/17/2014 ),ENDORSED LETTER addressed to Judge from ( `` '' ) dated 1/17/2014 re : Status letter to the Court with an update on loan tape discovery in these matters . ENDORSEMENT : The defendants shall submit a responsive letter by 1/22/14 . ( Signed by Judge on 1/17/2014 ) ( gr ) ( Entered : 01/17/2014 ),endorsed letter address status letter update tape discovery endorsement responsive letter,,endorsed letter address status letter update tape discovery endorsement responsive letter,endorsed_letter_address status letter update tape discovery endorsement responsive letter,"['endorsed letter address status letter update loan tape discovery .', 'endorsement responsive letter .']","['endorsed letter address status letter update loan tape discovery .', 'endorsement responsive letter .']","['endorsed_letter_address status letter update loan tape discovery .', 'endorsement responsive letter .']",Letter to Court,Y,Triage
"JOINT LETTER addressed to Judge Denise L. Cote from the parties dated January 29, 2014 re: loan tape discovery. Document filed by National Credit Union Administration Board. (Attachments: # 1 Exhibit A)(Haas, Erik) (Entered: 01/29/2014)",National Credit Union Administration Board,Denise L. Cote Erik,"JOINT LETTER addressed to Judge -NAME- -NAME- -NAME- from the parties dated January 29 , 2014 re : loan tape discovery . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Exhibit A ) ( Haas , -NAME- ) ( Entered : 01/29/2014 )","JOINT LETTER addressed to Judge from the parties dated January 29 , 2014 re : loan tape discovery . Document filed by . ( Attachments : # 1 Exhibit A ) ( Haas , ) ( Entered : 01/29/2014 )",joint letter address tape discovery,,joint letter address tape discovery,joint letter_address tape discovery,"['joint letter address loan tape discovery .', 'document file .']","['joint letter address loan tape discovery .', 'document file .']","['joint letter_address loan tape discovery .', 'document file .']",Letter to Court,Y,Triage
"LETTER addressed to Judge Denise L. Cote from Andrew C. Shen dated February 7, 2014 re: adding the Goldman Sachs & Co. case to the Protective Order. Document filed by National Credit Union Administration Board. (Attachments: # 1 Stipulated Amended Protective Order)(Haas, Erik) (Entered: 02/07/2014)",Goldman Sachs & Co. National Credit Union Administration Board,Denise L. Cote Andrew C. Shen Erik,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- -NAME- dated February 7 , 2014 re : adding the -ORG- -ORG- -ORG- -ORG- case to the Protective Order . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Stipulated Amended Protective Order ) ( Haas , -NAME- ) ( Entered : 02/07/2014 )","LETTER addressed to Judge from dated February 7 , 2014 re : adding the case to the Protective Order . Document filed by . ( Attachments : # 1 Stipulated Amended Protective Order ) ( Haas , ) ( Entered : 02/07/2014 )",letter address protective order,,letter address protective order,letter_address protective order,"['letter address protective order .', 'document file .']","['letter address protective order .', 'document file .']","['letter_address protective order .', 'document file .']",Letter to Court,Y,Triage
STIPULATED AMENDED PROTECTIVE ORDER...regarding procedures to be followed that shall govern the handling of confidential material... (Signed by Judge Denise L. Cote on 2/10/2014) (gr) (Entered: 02/10/2014),,Denise L. Cote,STIPULATED AMENDED PROTECTIVE ORDER ... regarding procedures to be followed that shall govern the handling of confidential material ... ( Signed by Judge -NAME- -NAME- -NAME- on 2/10/2014 ) ( gr ) ( Entered : 02/10/2014 ),STIPULATED AMENDED PROTECTIVE ORDER ... regarding procedures to be followed that shall govern the handling of confidential material ... ( Signed by Judge on 2/10/2014 ) ( gr ) ( Entered : 02/10/2014 ),stipulate amend protective order procedure govern handle confidential,,stipulate amend protective order procedure govern handle confidential,stipulate amend protective order procedure_govern_handle_confidential,['stipulate amend protective order procedure govern handle confidential'],['stipulate amend protective order procedure govern handle confidential'],['stipulate amend protective order procedure_govern_handle_confidential'],Court's Order,Y,Triage
"CERTIFIED TRUE COPY OF MDL ORDER FROM THE MDL PANEL DENYING TRANSFER....that the motion, pursuant to 28 U.S.C. 1407(c), for transfer of the action to the United States District Court - Southern District of New York, be, and the same hereby is denied. (Signed by MDL Panel on 2/12/2014) (sjo) (Entered: 02/18/2014)",U.S.C United States District Court - Southern District of New York MDL Panel,,"CERTIFIED TRUE COPY OF MDL ORDER FROM THE MDL PANEL DENYING TRANSFER ... .that the motion , pursuant to 28 -ORG- . 1407 ( c ) , for transfer of the action to the -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , be , and the same hereby is denied . ( Signed by -ORG- -ORG- on 2/12/2014 ) ( sjo ) ( Entered : 02/18/2014 )","CERTIFIED TRUE COPY OF MDL ORDER FROM THE MDL PANEL DENYING TRANSFER ... .that the motion , pursuant to 28 . 1407 ( c ) , for transfer of the action to the , be , and the same hereby is denied . ( Signed by on 2/12/2014 ) ( sjo ) ( Entered : 02/18/2014 )",certify true mdl order mdl panel deny transfer motion transfer deny,,certify true mdl order mdl panel deny transfer motion transfer deny,certify true mdl order mdl panel deny transfer motion transfer deny,"['certify true mdl order mdl panel deny transfer .that motion .', 'transfer deny .']","['certify true mdl order mdl panel deny transfer .that motion .', 'transfer deny .']","['certify true mdl order mdl panel deny transfer .that motion .', 'transfer deny .']",Court's Order,Y,Triage
"LETTER addressed to Judge Denise L. Cote from Andrew C. Shen dated February 18, 2014 re: Rule 45 Subpoenas. Document filed by National Credit Union Administration Board.(Haas, Erik) (Entered: 02/18/2014)",National Credit Union Administration Board,Denise L. Cote Andrew C. Shen Erik,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- -NAME- dated February 18 , 2014 re : Rule 45 Subpoenas . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Haas , -NAME- ) ( Entered : 02/18/2014 )","LETTER addressed to Judge from dated February 18 , 2014 re : Rule 45 Subpoenas . Document filed by . ( Haas , ) ( Entered : 02/18/2014 )",letter address rule subpoena,,letter address rule subpoena,letter_address rule subpoena,"['letter address rule subpoena .', 'document file .']","['letter address rule subpoena .', 'document file .']","['letter_address rule subpoena .', 'document file .']",Letter to Court,Y,Triage
"CERTIFIED TRUE COPY OF MDL ORDER FROM THE MDL PANEL DENYING TRANSFER....that the motion, pursuant to 28 U.S.C. 1407(c), for transfer of the action to the United States District Court - District of Kansas, be, and the same hereby is denied. (Signed by MDL Panel on 2/12/2014) (sjo) (Entered: 02/27/2014)",U.S.C United States District Court MDL Panel,,"CERTIFIED TRUE COPY OF MDL ORDER FROM THE MDL PANEL DENYING TRANSFER ... .that the motion , pursuant to 28 -ORG- . 1407 ( c ) , for transfer of the action to the -ORG- -ORG- -ORG- -ORG- - District of Kansas , be , and the same hereby is denied . ( Signed by -ORG- -ORG- on 2/12/2014 ) ( sjo ) ( Entered : 02/27/2014 )","CERTIFIED TRUE COPY OF MDL ORDER FROM THE MDL PANEL DENYING TRANSFER ... .that the motion , pursuant to 28 . 1407 ( c ) , for transfer of the action to the - District of Kansas , be , and the same hereby is denied . ( Signed by on 2/12/2014 ) ( sjo ) ( Entered : 02/27/2014 )",certify true mdl order mdl panel deny transfer motion transfer kansa deny,,certify true mdl order mdl panel deny transfer motion transfer kansa deny,certify true mdl order mdl panel deny transfer motion transfer kansa deny,"['certify true mdl order mdl panel deny transfer .that motion .', 'transfer kansa deny .']","['certify true mdl order mdl panel deny transfer .that motion .', 'transfer kansa deny .']","['certify true mdl order mdl panel deny transfer .that motion .', 'transfer kansa deny .']",Court's Order,Y,Triage
"LETTER addressed to Judge Denise L. Cote from Erik Haas dated March 10, 2014 re: coordination of discovery & scheduling. Document filed by National Credit Union Administration Board. (Attachments: # 1 Exhibit A, # 2 Exhibit B, # 3 Exhibit C)(Haas, Erik) (Entered: 03/10/2014)",National Credit Union Administration Board,Denise L. Cote Erik Haas Erik,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- dated March 10 , 2014 re : coordination of discovery & scheduling . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Exhibit A , # 2 Exhibit B , # 3 Exhibit C ) ( Haas , -NAME- ) ( Entered : 03/10/2014 )","LETTER addressed to Judge from dated March 10 , 2014 re : coordination of discovery & scheduling . Document filed by . ( Attachments : # 1 Exhibit A , # 2 Exhibit B , # 3 Exhibit C ) ( Haas , ) ( Entered : 03/10/2014 )",letter address coordination discovery schedule,,letter address coordination discovery schedule,letter_address coordination discovery schedule,"['letter address coordination discovery scheduling .', 'document file .']","['letter address coordination discovery scheduling .', 'document file .']","['letter_address coordination discovery scheduling .', 'document file .']",Letter to Court,Y,Triage
"LETTER addressed to Judge Denise L. Cote from James P. Rouhandeh dated March 10, 2014 re: coordination of discovery & scheduling. Document filed by Credit Suisse First Boston Mortgage Securities Corp., Credit Suisse Securities (USA) LLC. (Attachments: # 1 Exhibit A)(Clary, Richard) (Entered: 03/10/2014)",Credit Suisse First Boston Mortgage Securities Corp. Credit Suisse Securities ( USA ) LLC,Denise L. Cote James P. Rouhandeh Richard,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- -NAME- dated March 10 , 2014 re : coordination of discovery & scheduling . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Exhibit A ) ( Clary , -NAME- ) ( Entered : 03/10/2014 )","LETTER addressed to Judge from dated March 10 , 2014 re : coordination of discovery & scheduling . Document filed by , . ( Attachments : # 1 Exhibit A ) ( Clary , ) ( Entered : 03/10/2014 )",letter address coordination discovery schedule,,letter address coordination discovery schedule,letter_address coordination discovery schedule,"['letter address coordination discovery scheduling .', 'document file .']","['letter address coordination discovery scheduling .', 'document file .']","['letter_address coordination discovery scheduling .', 'document file .']",Letter to Court,Y,Triage
"ORDER...[A]ny submission related to the issue of coordination among the New York, Kansas, or California actions -- including specifically the submissions to be filed in accordance with the Scheduling Order of March 11, 2014 in the New York actions -- shall be submitted concurrently to all judicial officers listed above. IT IS FURTHER ORDERED that any communication regarding any discovery dispute in the New York, Kansas, or California actions, which shall not exceed two-pages in length, shall be submitted concurrently to all judicial officers listed above. IT IS FURTHER ORDERED that, unless otherwise specified (e.g., the two-page limit on discovery disputes), the parties shall file the aforementioned papers in accordance with the individual practices of each judicial officer. (Signed by Judge Denise L. Cote on 3/17/2014) (gr) (Entered: 03/17/2014)",,Denise L. Cote,"ORDER ... [ A ] ny submission related to the issue of coordination among the New York , Kansas , or California actions -- including specifically the submissions to be filed in accordance with the Scheduling Order of March 11 , 2014 in the New York actions -- shall be submitted concurrently to all judicial officers listed above . IT IS FURTHER ORDERED that any communication regarding any discovery dispute in the New York , Kansas , or California actions , which shall not exceed two-pages in length , shall be submitted concurrently to all judicial officers listed above . IT IS FURTHER ORDERED that , unless otherwise specified ( e.g. , the two-page limit on discovery disputes ) , the parties shall file the aforementioned papers in accordance with the individual practices of each judicial officer . ( Signed by Judge -NAME- -NAME- -NAME- on 3/17/2014 ) ( gr ) ( Entered : 03/17/2014 )","ORDER ... [ A ] ny submission related to the issue of coordination among the New York , Kansas , or California actions -- including specifically the submissions to be filed in accordance with the Scheduling Order of March 11 , 2014 in the New York actions -- shall be submitted concurrently to all judicial officers listed above . IT IS FURTHER ORDERED that any communication regarding any discovery dispute in the New York , Kansas , or California actions , which shall not exceed two-pages in length , shall be submitted concurrently to all judicial officers listed above . IT IS FURTHER ORDERED that , unless otherwise specified ( e.g. , the two-page limit on discovery disputes ) , the parties shall file the aforementioned papers in accordance with the individual practices of each judicial officer . ( Signed by Judge on 3/17/2014 ) ( gr ) ( Entered : 03/17/2014 )",order coordination among new york kansa california specifically accordance scheduling order new york concurrently judicial officer list ordered communication discovery dispute new york kansa california exceed twopages length concurrently judicial officer list order unless otherwise specify aforementioned accordance individual practice judicial officer,,order coordination among new york kansa california specifically accordance scheduling order new york concurrently judicial officer list ordered communication discovery dispute new york kansa california exceed twopages length concurrently judicial officer list order unless otherwise specify aforementioned accordance individual practice judicial officer,order coordination among kansa california specifically accordance scheduling order concurrently judicial officer list ordered communication discovery dispute kansa california exceed twopages length concurrently judicial officer list order unless otherwise specify aforementioned accordance individual_practice judicial officer,"['order issue coordination among new york kansa california specifically file accordance scheduling order new york concurrently judicial officer list .', 'order communication discovery dispute new york kansa california exceed twopages length concurrently judicial officer list .', 'order unless otherwise specify file aforementioned accordance individual practice judicial officer .']","['order issue coordination among new york kansa california specifically file accordance scheduling order new york concurrently judicial officer list .', 'order communication discovery dispute new york kansa california exceed twopages length concurrently judicial officer list .', 'order unless otherwise specify file aforementioned accordance individual practice judicial officer .']","['order issue coordination among kansa california specifically file accordance scheduling order concurrently judicial officer list .', 'order communication discovery dispute kansa california exceed twopages length concurrently judicial officer list .', 'order unless otherwise specify file aforementioned accordance individual_practice judicial officer .']",Court's Order,Y,Triage
"LETTER addressed to Judge Denise L. Cote from David C. Frederick dated 3/28/2014 re: Filing of Proposed Orders. Document filed by National Credit Union Administration Board. (Attachments: # 1 Text of Proposed Order Master Discovery Protocol, # 2 Text of Proposed Order Protective Order, # 3 Text of Proposed Order ESI Protocol, # 4 Text of Proposed Order Loan File Protocol)(Frederick, David) (Entered: 03/28/2014)",National Credit Union Administration Board,Denise L. Cote David C. Frederick Frederick David,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- -NAME- dated 3/28/2014 re : Filing of Proposed Orders . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Text of Proposed Order Master Discovery Protocol , # 2 Text of Proposed Order Protective Order , # 3 Text of Proposed Order ESI Protocol , # 4 Text of Proposed Order Loan File Protocol ) ( -NAME- , -NAME- ) ( Entered : 03/28/2014 )","LETTER addressed to Judge from dated 3/28/2014 re : Filing of Proposed Orders . Document filed by . ( Attachments : # 1 Text of Proposed Order Master Discovery Protocol , # 2 Text of Proposed Order Protective Order , # 3 Text of Proposed Order ESI Protocol , # 4 Text of Proposed Order Loan File Protocol ) ( , ) ( Entered : 03/28/2014 )",letter address propose order,,letter address propose order,letter_address propose order,"['letter address filing propose order .', 'document file .']","['letter address filing propose order .', 'document file .']","['letter_address filing propose order .', 'document file .']",Letter to Court,Y,Triage
"BRIEF re: 60 Letter, (""Defendants' Submission Regarding Coordination of Discovery Across Actions""). Document filed by Credit Suisse First Boston Mortgage Securities Corp., Credit Suisse Securities (USA) LLC.(Clary, Richard) (Entered: 03/28/2014)",Credit Suisse First Boston Mortgage Securities Corp. Credit Suisse Securities ( USA ) LLC,Clary Richard,"BRIEF re : 60 Letter , ( `` Defendants ' Submission Regarding Coordination of Discovery Across Actions '' ) . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- . ( -NAME- , -NAME- ) ( Entered : 03/28/2014 )","BRIEF re : 60 Letter , ( `` Defendants ' Submission Regarding Coordination of Discovery Across Actions '' ) . Document filed by , . ( , ) ( Entered : 03/28/2014 )",brief letter,,brief letter,brief letter,"['brief letter .', 'document file .']","['brief letter .', 'document file .']","['brief letter .', 'document file .']",Brief,Y,Triage
"STATUS REPORT. Defendants' Submission Regarding Coordination of Discovery Across Actions. Document filed by Credit Suisse First Boston Mortgage Securities Corp., Credit Suisse Securities (USA) LLC.(Rouhandeh, James) (Entered: 03/29/2014)",Credit Suisse First Boston Mortgage Securities Corp. Credit Suisse Securities ( USA ) LLC,( Rouhandeh James,"STATUS REPORT . Defendants ' Submission Regarding Coordination of Discovery Across Actions . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- . -NAME- -NAME- , -NAME- ) ( Entered : 03/29/2014 )","STATUS REPORT . Defendants ' Submission Regarding Coordination of Discovery Across Actions . Document filed by , . , ) ( Entered : 03/29/2014 )",status report coordination discovery across,,status report coordination discovery across,status_report coordination discovery across,"['status report .', 'coordination discovery across .', 'document file .', '']","['status report .', 'coordination discovery across .', 'document file .', '']","['status_report .', 'coordination discovery across .', 'document file .', '']",Letter to Court,Y,Triage
"LETTER addressed to Judge Denise L. Cote from David C. Frederick dated 3/28/2014 re: ESI Protocol. Document filed by National Credit Union Administration Board.(Frederick, David) (Entered: 03/29/2014)",ESI National Credit Union Administration Board,Denise L. Cote David C. Frederick Frederick David,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- -NAME- dated 3/28/2014 re : -ORG- Protocol . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( -NAME- , -NAME- ) ( Entered : 03/29/2014 )","LETTER addressed to Judge from dated 3/28/2014 re : Protocol . Document filed by . ( , ) ( Entered : 03/29/2014 )",letter address,,letter address,letter_address,"['letter address protocol .', 'document file .']","['letter address protocol .', 'document file .']","['letter_address protocol .', 'document file .']",Letter to Court,Y,Triage
"LETTER addressed to Judge Denise L. Cote from David C. Frederick dated 3/28/2014 re: Extending Deadlines Regarding Search Terms, Custodians, Repositories. Document filed by National Credit Union Administration Board. (Attachments: # 1 Exhibit A - March 11, 2014 SDNY Hearing Transcript Excerpt)(Frederick, David) (Entered: 03/29/2014)",National Credit Union Administration Board,Denise L. Cote David C. Frederick Frederick David,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- -NAME- dated 3/28/2014 re : Extending Deadlines Regarding Search Terms , Custodians , Repositories . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Exhibit A - March 11 , 2014 SDNY Hearing Transcript Excerpt ) ( -NAME- , -NAME- ) ( Entered : 03/29/2014 )","LETTER addressed to Judge from dated 3/28/2014 re : Extending Deadlines Regarding Search Terms , Custodians , Repositories . Document filed by . ( Attachments : # 1 Exhibit A - March 11 , 2014 SDNY Hearing Transcript Excerpt ) ( , ) ( Entered : 03/29/2014 )",letter address extend deadline search term custodian repository,,letter address extend deadline search term custodian repository,letter_address extend deadline search term custodian repository,"['letter address extending deadline search term custodian repository .', 'document file .']","['letter address extending deadline search term custodian repository .', 'document file .']","['letter_address extending deadline search term custodian repository .', 'document file .']",Letter to Court,Y,Triage
"LETTER addressed to Judge Denise L. Cote from David C. Frederick dated 3/28/2014 re: Protective Order Across Cases. Document filed by National Credit Union Administration Board. (Attachments: # 1 Exhibit A - March 11, 2014 SDNY Hearing Transcript Excerpt)(Frederick, David) (Entered: 03/29/2014)",National Credit Union Administration Board,Denise L. Cote David C. Frederick Frederick David,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- -NAME- dated 3/28/2014 re : Protective Order Across Cases . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Exhibit A - March 11 , 2014 SDNY Hearing Transcript Excerpt ) ( -NAME- , -NAME- ) ( Entered : 03/29/2014 )","LETTER addressed to Judge from dated 3/28/2014 re : Protective Order Across Cases . Document filed by . ( Attachments : # 1 Exhibit A - March 11 , 2014 SDNY Hearing Transcript Excerpt ) ( , ) ( Entered : 03/29/2014 )",letter address protective order across,,letter address protective order across,letter_address protective order across,"['letter address protective order across .', 'document file .']","['letter address protective order across .', 'document file .']","['letter_address protective order across .', 'document file .']",Letter to Court,Y,Triage
